oracle,optimizer,seeds,budget,best_mean,best_std,best_max,wt_f,ref_f,norm
surrogate_ppri_v3,wf,5,4000,0.9164,0.0,0.9164,-0.0557,0.9165,0.9999
surrogate_ppri_v3,dqn,5,4000,0.8711,0.0901,0.9164,-0.0557,0.9165,0.9534
surrogate_ppri_v3,bc,5,4000,0.1343,0.3854,0.477,-0.0557,0.9165,0.1955
surrogate_ppri_v3,ppo,5,4000,0.9164,0.0001,0.9165,-0.0557,0.9165,0.9999
surrogate_ppri_v3,es,5,4000,-0.1021,0.0589,-0.0351,-0.0557,0.9165,-0.0477
surrogate_ppri_v3,cem,5,4000,0.3094,0.1162,0.4398,-0.0557,0.9165,0.3755
surrogate_ppri,wf,5,4000,0.582,0.0428,0.6214,0.2371,0.6214,0.8975
surrogate_ppri,dqn,5,4000,0.4675,0.0352,0.53,0.2371,0.6214,0.5994
surrogate_ppri,bc,5,4000,0.0627,0.125,0.1661,0.2371,0.6214,-0.4539
surrogate_ppri,ppo,5,4000,0.5256,0.0437,0.6072,0.2371,0.6214,0.7508
surrogate_ppri,es,5,4000,-0.5956,0.0217,-0.5787,0.2371,0.6214,-2.1671
surrogate_ppri,cem,5,4000,0.1705,0.1922,0.3714,0.2371,0.6214,-0.1734
ppri_additive,wf,5,4000,16.7645,0.3278,17.2475,0.0,18.3115,0.9155
ppri_additive,dqn,5,4000,4.2864,0.7942,5.2952,0.0,18.3115,0.2341
ppri_additive,bc,5,4000,0.7929,1.5711,3.2157,0.0,18.3115,0.0433
ppri_additive,ppo,5,4000,5.3745,0.9028,6.9521,0.0,18.3115,0.2935
ppri_additive,es,5,4000,6.4626,0.5459,7.1208,0.0,18.3115,0.3529
ppri_additive,cem,5,4000,10.5155,0.9876,11.8147,0.0,18.3115,0.5743
