strategy,seed,budget_target,budget_used,spearman_test,spearman_train,top16_test,wall_s
v2,11,192,192,0.5614,0.4615,4.037,1.3
v1,11,192,191,0.1402,0.2611,0.003,37.9
random,11,192,192,,,1.214,0.0
ridge-AL,11,192,192,0.6894,0.3041,4.485,0.2
v2,22,192,192,0.4554,0.1686,3.473,1.0
v1,22,192,189,0.1402,0.2611,0.003,33.0
random,22,192,192,,,1.214,0.0
ridge-AL,22,192,192,0.5591,0.062,4.313,0.2
v2,33,192,192,0.4571,0.189,1.784,1.0
v1,33,192,189,0.1402,0.2611,0.003,35.3
random,33,192,192,,,1.214,0.0
ridge-AL,33,192,192,0.657,0.2386,4.6,0.2
v2,44,192,192,0.4755,0.325,1.325,1.1
v1,44,192,190,0.1402,0.2611,0.003,32.1
random,44,192,192,,,1.214,0.0
ridge-AL,44,192,192,0.5144,0.1283,2.931,0.2
v2,55,192,192,0.4588,0.2093,2.065,1.0
v1,55,192,189,0.1402,0.2611,0.003,31.7
random,55,192,192,,,1.214,0.0
ridge-AL,55,192,192,0.5888,0.1472,2.859,0.2
v2,66,192,192,0.3804,0.342,1.961,1.3
v1,66,192,190,0.1402,0.2611,0.003,35.1
random,66,192,192,,,1.214,0.0
ridge-AL,66,192,192,0.6026,0.2889,4.254,0.2
v2,77,192,192,0.5683,0.2157,5.019,1.1
v1,77,192,189,0.1402,0.2611,0.003,32.6
random,77,192,192,,,1.214,0.0
ridge-AL,77,192,192,0.6186,0.2432,2.766,0.2
v2,88,192,192,0.4338,0.1132,2.843,1.2
v1,88,192,190,0.1402,0.2611,0.003,35.9
random,88,192,192,,,1.214,0.0
ridge-AL,88,192,192,0.5506,0.1882,2.782,0.2
v2,11,424,424,0.6122,0.4449,4.019,2.6
v1,11,424,418,0.1402,0.2611,0.003,36.8
random,11,424,432,,,1.214,0.0
ridge-AL,11,424,432,0.7219,0.2811,5.176,1.0
v2,22,424,424,0.4892,0.2999,3.13,2.4
v1,22,424,418,0.1402,0.2611,0.003,37.0
random,22,424,432,,,1.214,0.0
ridge-AL,22,424,432,0.6427,0.1757,4.295,1.2
v2,33,424,424,0.5341,0.238,3.267,3.3
v1,33,424,419,0.1402,0.2611,0.003,35.7
random,33,424,432,,,1.214,0.0
ridge-AL,33,424,432,0.6941,0.2298,5.352,1.0
v2,44,424,424,0.59,0.2802,3.225,2.7
v1,44,424,419,0.1402,0.2611,0.003,32.5
random,44,424,432,,,1.214,0.0
ridge-AL,44,424,432,0.6876,0.231,4.068,0.9
v2,55,424,424,0.5849,0.3382,2.504,2.2
v1,55,424,418,0.1402,0.2611,0.003,31.7
random,55,424,432,,,1.214,0.0
ridge-AL,55,424,432,0.6906,0.2304,4.786,0.9
v2,66,424,424,0.5333,0.1943,3.371,2.2
v1,66,424,419,0.1402,0.2611,0.003,31.5
random,66,424,432,,,1.214,0.0
ridge-AL,66,424,432,0.6995,0.3395,3.854,0.8
v2,77,424,424,0.6569,0.3676,4.448,2.2
v1,77,424,419,0.1402,0.2611,0.003,31.3
random,77,424,432,,,1.214,0.0
ridge-AL,77,424,432,0.6917,0.2826,4.597,0.9
v2,88,424,424,0.6003,0.2532,4.698,2.2
v1,88,424,418,0.1402,0.2611,0.003,31.5
random,88,424,432,,,1.214,0.0
ridge-AL,88,424,432,0.6544,0.145,4.39,0.9
v2,11,1536,1536,0.766,0.4934,4.317,8.4
v1,11,1536,1526,0.1402,0.2611,0.003,31.7
random,11,1536,1536,,,1.214,0.0
ridge-AL,11,1536,1536,0.7399,0.3059,5.198,35.5
v2,22,1536,1536,0.6867,0.2759,4.042,8.0
v1,22,1536,1526,0.1402,0.2611,0.003,32.0
random,22,1536,1536,,,1.214,0.0
ridge-AL,22,1536,1536,0.7264,0.2558,4.828,32.7
v2,33,1536,1536,0.6933,0.2808,4.5,8.1
v1,33,1536,1527,0.1402,0.2611,0.003,31.7
random,33,1536,1536,,,1.214,0.0
ridge-AL,33,1536,1536,0.7263,0.3115,5.034,34.5
v2,44,1536,1536,0.7076,0.3728,4.471,8.1
v1,44,1536,1526,0.1402,0.2611,0.003,31.3
random,44,1536,1536,,,1.214,0.0
ridge-AL,44,1536,1536,0.7394,0.2997,4.319,31.5
v2,55,1536,1536,0.685,0.2539,3.729,7.2
v1,55,1536,1526,0.1402,0.2611,0.003,28.0
random,55,1536,1536,,,1.214,0.0
ridge-AL,55,1536,1536,0.7384,0.2867,4.373,35.5
v2,66,1536,1536,0.6845,0.4499,4.638,8.9
v1,66,1536,1529,0.1402,0.2611,0.003,34.1
random,66,1536,1536,,,1.214,0.0
ridge-AL,66,1536,1536,0.7472,0.3417,4.528,34.8
v2,77,1536,1536,0.7414,0.4499,4.916,10.0
v1,77,1536,1526,0.1402,0.2611,0.003,40.5
random,77,1536,1536,,,1.214,0.0
ridge-AL,77,1536,1536,0.743,0.2949,4.127,35.6
v2,88,1536,1536,0.6888,0.2833,4.557,7.6
v1,88,1536,1527,0.1402,0.2611,0.003,29.7
random,88,1536,1536,,,1.214,0.0
ridge-AL,88,1536,1536,0.7087,0.1964,3.736,31.3
