budget,seed,used,best_found,v2_rho,ridge_rho,wall,v2_Deng,ridge_Deng,v2_Stiffler,ridge_Stiffler,v2_Jacquier,ridge_Jacquier
192,11,206,1.432,0.323,0.0285,26.1,0.2906,0.032,0.3403,0.0602,0.401,0.0562
192,22,206,1.642,0.3237,0.0298,27.2,0.2975,0.0364,0.3362,0.065,0.4065,0.0337
192,33,195,1.642,0.3224,0.0269,27.4,0.298,0.0261,0.3343,0.0555,0.3986,0.0081
192,44,195,1.642,0.3288,0.0292,26.9,0.2966,0.0342,0.3412,0.0599,0.4066,0.0518
192,55,195,1.542,0.3225,0.0237,23.4,0.2956,0.0276,0.3326,0.0541,0.3966,0.0111
192,66,194,1.642,0.3273,0.0217,23.8,0.2875,0.0285,0.3386,0.0566,0.4002,0.0415
192,77,195,1.642,0.3173,0.0265,23.6,0.2892,0.0262,0.3346,0.0538,0.4043,0.0214
192,88,203,1.642,0.3112,0.0284,26.2,0.2828,0.0303,0.325,0.0584,0.4003,0.042
768,11,776,1.642,0.3239,0.2191,275.1,0.2957,0.1614,0.3397,0.2279,0.4182,0.3243
768,22,768,1.703,0.3305,0.2037,279.2,0.2942,0.1621,0.3387,0.2201,0.4205,0.3058
768,33,770,1.703,0.3345,0.2079,269.8,0.3048,0.1466,0.344,0.2114,0.4155,0.302
768,44,775,1.642,0.3365,0.2199,287.5,0.2992,0.1469,0.3474,0.2093,0.4135,0.3395
768,55,769,1.642,0.3338,0.209,284.0,0.301,0.1543,0.3447,0.219,0.4145,0.337
768,66,770,1.703,0.3321,0.2132,311.3,0.3036,0.1585,0.3407,0.2264,0.4165,0.2807
768,77,781,1.703,0.3351,0.2217,386.6,0.2935,0.1673,0.3451,0.2296,0.4086,0.3031
768,88,768,1.642,0.3268,0.2121,272.6,0.2847,0.1538,0.3385,0.2244,0.4126,0.3002
