dataset,n,rho_esm3
A4D664_9INFA_Soh_2019,1000,-0.0326
A4GRB6_PSEAI_Chen_2020,867,0.5673
A4_HUMAN_Seuma_2022,895,0.2631
BLAT_ECOLX_Jacquier_2013,989,0.5502
BLAT_ECOLX_Stiffler_2015,866,0.6013
C6KNH7_9INFA_Lee_2018,1000,-0.058
CAPSD_AAV2S_Sinai_2021,1000,-0.1585
CBPA2_HUMAN_Tsuboyama_2023_1O6X,1000,0.6698
DNJA1_HUMAN_Tsuboyama_2023_2LO1,866,0.6021
ENV_HV1B9_DuenasDecamp_2016,325,0.1235
EPHB2_HUMAN_Tsuboyama_2023_1F0M,1000,0.6101
ESTA_BACSU_Nutschel_2020,867,0.2562
FECA_ECOLI_Tsuboyama_2023_2D1U,1000,0.5653
HCP_LAMBD_Tsuboyama_2023_2L6Q,1000,0.5377
NUSG_MYCTU_Tsuboyama_2023_2MI6,1000,0.2142
POLG_DEN26_Suphatrakul_2023,867,-0.0077
Q2N0S5_9HIV1_Haddox_2018,1000,-0.0053
Q6WV12_9MAXI_Somermeyer_2022,867,-0.0277
RASK_HUMAN_Weng_2022_abundance,1000,0.114
RCD1_ARATH_Tsuboyama_2023_5OAO,866,0.5078
RL40A_YEAST_Roscoe_2014,1000,-0.0512
RPC1_LAMBD_Li_2019_high-expression,304,0.4437
SC6A4_HUMAN_Young_2021,1000,0.4607
SOX30_HUMAN_Tsuboyama_2023_7JJK,867,0.2588
SPG2_STRSG_Tsuboyama_2023_5UBS,867,0.4742
SR43C_ARATH_Tsuboyama_2023_2N88,1000,0.7033
SRBS1_HUMAN_Tsuboyama_2023_2O2W,1000,0.5672
TRPC_THEMA_Chan_2017,717,0.3409
VRPI_BPT7_Tsuboyama_2023_2WNM,1000,0.3662
YAIA_ECOLI_Tsuboyama_2023_2KVT,867,0.1956
