dataset,n,rho_blosum,rho_dms_matrix
A4D664_9INFA_Soh_2019,14250,0.2299,0.1922
A4GRB6_PSEAI_Chen_2020,4834,0.319,0.141
A4_HUMAN_Seuma_2022,14811,0.1533,0.0472
BLAT_ECOLX_Jacquier_2013,989,0.3991,0.2631
BLAT_ECOLX_Stiffler_2015,4996,0.3379,0.2092
C6KNH7_9INFA_Lee_2018,10583,0.2283,0.1849
CAPSD_AAV2S_Sinai_2021,42328,0.2951,0.2562
CBPA2_HUMAN_Tsuboyama_2023_1O6X,1900,0.4239,0.4563
DNJA1_HUMAN_Tsuboyama_2023_2LO1,2097,0.2766,0.2416
ENV_HV1B9_DuenasDecamp_2016,375,0.2428,0.2137
EPHB2_HUMAN_Tsuboyama_2023_1F0M,1789,0.4789,0.351
ESTA_BACSU_Nutschel_2020,2172,0.0993,0.0078
FECA_ECOLI_Tsuboyama_2023_2D1U,1731,-0.0086,0.1886
HCP_LAMBD_Tsuboyama_2023_2L6Q,871,0.2627,0.1989
NUSG_MYCTU_Tsuboyama_2023_2MI6,1210,0.0754,0.1283
POLG_DEN26_Suphatrakul_2023,16726,0.2901,0.1603
Q2N0S5_9HIV1_Haddox_2018,12729,0.2305,0.17
Q6WV12_9MAXI_Somermeyer_2022,31346,0.1562,0.0097
RASK_HUMAN_Weng_2022_abundance,25850,0.2087,0.1773
RCD1_ARATH_Tsuboyama_2023_5OAO,1094,0.0623,0.3353
RL40A_YEAST_Roscoe_2014,1235,0.2728,0.1977
RPC1_LAMBD_Li_2019_high-expression,351,0.2166,0.076
SC6A4_HUMAN_Young_2021,11424,0.252,0.1681
SOX30_HUMAN_Tsuboyama_2023_7JJK,864,0.0689,0.0323
SPG2_STRSG_Tsuboyama_2023_5UBS,1284,-0.0046,0.0913
SR43C_ARATH_Tsuboyama_2023_2N88,1415,0.3003,0.3931
SRBS1_HUMAN_Tsuboyama_2023_2O2W,1387,0.2499,0.4895
TRPC_THEMA_Chan_2017,1519,0.2787,0.2853
VRPI_BPT7_Tsuboyama_2023_2WNM,889,0.1175,0.0189
YAIA_ECOLI_Tsuboyama_2023_2KVT,1731,0.192,0.2704
