pop,gen,best,mean,unique
0,0,5.0753,1.1255,87
1,0,5.3601,1.1895,85
2,0,5.0753,1.1944,87
3,0,5.3907,1.1881,89
0,1,6.1238,3.2516,148
1,1,6.0442,3.4687,149
2,1,5.3907,3.3054,134
3,1,6.9813,3.6615,155
0,2,6.1238,3.8473,154
1,2,7.2823,4.2671,142
2,2,5.3907,3.909,109
3,2,6.9813,4.3292,167
0,3,6.1238,4.5307,128
1,3,7.2823,4.7987,148
2,3,5.772,4.1312,120
3,3,6.9813,5.0745,146
0,4,8.762,4.9837,123
1,4,7.2823,5.8183,124
2,4,5.772,4.409,105
3,4,6.9813,5.6352,96
0,5,8.762,5.5201,131
1,5,7.5547,6.0112,104
2,5,5.772,4.2869,104
3,5,8.0452,5.5709,94
0,6,8.762,7.1032,90
1,6,7.5547,6.2169,93
2,6,7.2287,4.2869,116
3,6,8.0452,5.7687,89
0,7,8.762,7.417,75
1,7,7.5547,6.1308,98
2,7,7.2287,4.4367,134
3,7,8.0452,5.7877,84
0,8,8.762,7.2137,84
1,8,7.5547,6.1985,98
2,8,7.5547,5.2295,122
3,8,8.762,5.9153,99
0,9,8.762,7.0865,92
1,9,7.5547,6.2902,97
2,9,7.5547,6.0043,109
3,9,8.762,6.6333,94
0,10,8.762,7.1021,81
1,10,7.5547,6.1111,97
2,10,7.5547,6.1109,73
3,10,8.762,6.9011,101
0,11,8.762,7.3103,78
1,11,8.762,6.1864,101
2,11,7.5547,6.1598,80
3,11,8.762,7.1021,97
0,12,8.762,7.2905,78
1,12,8.762,6.1662,114
2,12,7.5547,6.1697,79
3,12,8.762,7.2014,85
0,13,8.762,7.3517,73
1,13,8.762,6.322,106
2,13,8.762,6.1252,85
3,13,8.762,7.3206,72
0,14,8.762,7.298,83
1,14,8.762,6.6678,111
2,14,8.762,6.1806,94
3,14,8.762,7.1855,82
0,15,8.762,7.1717,70
1,15,8.762,7.3873,75
2,15,8.762,6.408,96
3,15,8.762,7.3606,74
0,16,8.762,7.279,71
1,16,8.762,7.358,89
2,16,8.762,6.887,101
3,16,8.762,7.2708,70
0,17,8.762,7.3769,78
1,17,8.762,7.4543,74
2,17,8.762,7.2398,92
3,17,8.762,7.3466,72
0,18,8.762,7.3444,73
1,18,8.762,7.2644,94
2,18,8.762,7.1675,82
3,18,8.762,7.2957,78
0,19,8.762,7.1626,74
1,19,8.762,7.2305,73
2,19,8.762,7.316,78
3,19,8.762,7.1299,88
0,20,8.762,7.2451,80
1,20,8.762,7.2961,65
2,20,8.762,7.2489,79
3,20,8.762,7.286,72
0,21,8.762,7.1864,85
1,21,8.762,7.1164,91
2,21,8.762,7.3993,80
3,21,8.762,7.3415,75
0,22,8.762,7.2343,82
1,22,8.762,7.1923,78
2,22,8.762,7.2953,83
3,22,8.762,7.2699,82
0,23,8.762,7.2513,77
1,23,8.762,7.3405,80
2,23,8.762,7.3394,82
3,23,8.762,7.4999,73
0,24,8.762,7.3277,74
1,24,8.762,7.3004,76
2,24,8.762,7.4387,68
3,24,8.762,7.2144,78
0,25,8.762,7.2565,73
1,25,8.762,7.1364,84
2,25,8.762,7.2478,85
3,25,8.762,7.2753,79
0,26,8.762,7.3158,79
1,26,8.762,7.4143,67
2,26,8.762,7.447,73
3,26,8.762,7.0993,85
0,27,8.762,7.3669,76
1,27,8.762,7.3062,76
2,27,8.762,7.3055,73
3,27,8.762,7.206,79
0,28,8.762,7.1412,82
1,28,8.762,7.1899,75
2,28,8.762,7.1909,78
3,28,8.762,7.357,78
0,29,8.762,7.3859,70
1,29,8.762,7.3187,79
2,29,8.762,7.3573,75
3,29,8.762,7.0244,85
0,30,8.762,7.2969,75
1,30,8.762,7.2389,75
2,30,8.762,7.2177,75
3,30,8.762,7.3078,82
0,31,8.762,7.3482,75
1,31,8.762,7.2492,75
2,31,8.762,7.2494,79
3,31,8.762,7.2888,77
0,32,8.762,7.2502,70
1,32,8.762,7.1963,83
2,32,8.762,7.2245,71
3,32,8.762,7.1341,84
0,33,8.762,7.2227,79
1,33,8.762,7.3689,79
2,33,8.762,7.3261,77
3,33,8.762,7.2948,71
0,34,8.762,7.2446,85
1,34,8.762,7.2652,72
2,34,8.762,7.2211,86
3,34,8.762,7.1723,81
0,35,8.762,7.4345,74
1,35,8.762,7.2819,77
2,35,8.762,7.3916,72
3,35,8.762,7.5058,69
0,36,8.762,7.0118,81
1,36,8.762,7.2478,70
2,36,8.762,7.2564,76
3,36,8.762,7.2758,69
0,37,8.762,7.2521,82
1,37,8.762,7.3035,77
2,37,8.762,7.1615,76
3,37,8.762,7.2365,78
0,38,8.762,7.3311,72
1,38,8.762,7.317,71
2,38,8.762,7.1392,82
3,38,8.762,7.3597,71
0,39,8.762,7.3054,71
1,39,8.762,7.4654,73
2,39,8.762,7.2745,84
3,39,8.762,7.2815,78
0,40,8.762,7.2489,80
1,40,8.762,7.3153,80
2,40,8.762,7.2741,74
3,40,8.762,7.4065,64
0,41,8.762,7.2618,72
1,41,8.762,7.4321,70
2,41,8.762,7.1908,76
3,41,8.762,7.2829,80
0,42,8.762,7.1354,78
1,42,8.762,7.2531,74
2,42,8.762,7.3322,71
3,42,8.762,7.0498,81
0,43,8.762,7.4768,62
1,43,8.762,7.1365,87
2,43,8.762,7.3365,67
3,43,8.762,7.3105,76
0,44,8.762,7.2577,73
1,44,8.762,7.3354,81
2,44,8.762,7.2379,75
3,44,8.762,7.3904,77
0,45,8.762,7.1587,80
1,45,8.762,7.2018,76
2,45,8.762,7.319,71
3,45,8.762,7.2488,85
0,46,8.762,7.1809,82
1,46,8.762,7.2977,73
2,46,8.762,7.4001,70
3,46,8.762,7.3282,69
0,47,8.762,7.4127,76
1,47,8.762,7.3606,70
2,47,8.762,7.3931,72
3,47,8.762,7.2655,74
0,48,8.762,7.2587,86
1,48,8.762,7.3982,70
2,48,8.762,7.2179,78
3,48,8.762,7.4369,80
0,49,8.762,7.1531,79
1,49,8.762,7.3121,79
2,49,8.762,7.2753,85
3,49,8.762,7.2731,80
0,50,8.762,7.3463,70
1,50,8.762,7.1758,75
2,50,8.762,7.2569,78
3,50,8.762,7.264,83
0,51,8.762,7.2218,82
1,51,8.762,7.2323,77
2,51,8.762,7.2038,86
3,51,8.762,7.5215,74
0,52,8.762,7.2547,84
1,52,8.762,7.2321,68
2,52,8.762,7.3282,70
3,52,8.762,7.2376,88
0,53,8.762,7.3621,81
1,53,8.762,7.3319,73
2,53,8.762,7.1084,81
3,53,8.762,7.208,76
0,54,8.762,7.2724,83
1,54,8.762,7.1436,88
2,54,8.762,7.2546,75
3,54,8.762,7.1973,79
0,55,8.762,7.3023,72
1,55,8.762,7.2739,73
2,55,8.762,7.2668,84
3,55,8.762,7.2287,73
0,56,8.762,7.3419,77
1,56,8.762,7.1085,82
2,56,8.762,7.3434,76
3,56,8.762,7.2871,75
0,57,8.762,7.434,68
1,57,8.762,7.2618,80
2,57,8.762,7.2308,76
3,57,8.762,7.2896,81
0,58,8.762,7.2303,87
1,58,8.762,7.3372,74
2,58,8.762,7.3347,77
3,58,8.762,7.0747,80
0,59,8.762,7.1259,78
1,59,8.762,7.2154,78
2,59,8.762,7.3011,74
